Player,team_alias,pos_text,ewins,2025-26,production_value,diff
Victor Wembanyama,SAS,C,13.4505,13376880,51111900.0,37735020.0
Jalen Duren,DET,C,9.60324,6483144,36492312.0,30009168.0
Amen Thompson,HOU,SG,9.88842,9690600,37575996.0,27885396.0
Shai Gilgeous-Alexander,OKC,PG,17.1528,38333050,65180640.0,26847590.0
Chet Holmgren,OKC,C,10.6652,13731368,40527760.0,26796392.0
Collin Gillespie,PHX,PG,7.64644,2296274,29056472.0,26760198.0
Kon Knueppel,CHA,SF,9.61673,10015680,36543574.0,26527894.0
Neemias Queta,BOS,C,7.18971,2349578,27320898.0,24971320.0
Dyson Daniels,ATL,SG,8.44467,7707709,32089746.0,24382037.0
Donovan Clingan,POR,C,7.89379,7178400,29996402.0,22818002.0
